iter	Passed	Remaining
0	150	150486
1	153	76390
2	156	51970
3	159	39654
4	162	32245
5	164	27268
6	167	23725
7	169	21072
8	172	19011
9	174	17308
10	177	15944
11	179	14788
12	181	13783
13	183	12919
14	185	12175
15	187	11521
16	189	10942
17	190	10411
18	192	9944
19	194	9509
20	195	9113
21	197	8766
22	198	8442
23	200	8146
24	201	7876
25	203	7618
26	204	7379
27	206	7159
28	207	6950
29	209	6758
30	210	6575
31	211	6402
32	213	6245
33	214	6098
34	216	5958
35	217	5827
36	218	5698
37	220	5578
38	221	5463
39	223	5353
40	224	5250
41	225	5148
42	227	5055
43	228	4963
44	229	4874
45	231	4792
46	232	4721
47	234	4643
48	235	4569
49	236	4502
50	238	4436
51	239	4372
52	241	4309
53	242	4249
54	243	4188
55	245	4131
56	246	4077
57	248	4028
58	249	3977
59	250	3928
60	252	3880
61	253	3833
62	254	3788
63	256	3744
64	257	3700
65	258	3658
66	259	3617
67	261	3577
68	262	3539
69	263	3506
70	265	3471
71	266	3436
72	267	3401
73	269	3368
74	270	3335
75	271	3305
76	273	3275
77	274	3245
78	275	3216
79	277	3187
80	278	3160
81	280	3135
82	281	3110
83	283	3086
84	284	3061
85	285	3035
86	286	3005
87	287	2981
88	288	2958
89	290	2934
90	291	2912
91	292	2889
92	294	2870
93	295	2852
94	297	2834
95	298	2814
96	300	2795
97	301	2776
98	302	2757
99	304	2740
100	305	2721
101	307	2704
102	308	2686
103	309	2668
104	311	2655
105	313	2641
106	314	2624
107	315	2608
108	317	2593
109	318	2576
110	319	2560
111	321	2545
112	322	2530
113	323	2515
114	325	2502
115	326	2489
116	328	2478
117	329	2465
118	331	2451
119	332	2438
120	334	2426
121	335	2413
122	336	2401
123	338	2390
124	339	2378
125	341	2367
126	342	2357
127	344	2345
128	345	2334
129	347	2324
130	349	2315
131	350	2304
132	351	2293
133	353	2281
134	354	2271
135	355	2260
136	357	2250
137	358	2242
138	360	2233
139	362	2224
140	363	2214
141	364	2204
142	366	2193
143	367	2183
144	368	2173
145	369	2162
146	371	2153
147	372	2146
148	374	2138
149	375	2130
150	377	2121
151	378	2112
152	380	2105
153	381	2097
154	383	2088
155	384	2079
156	385	2071
157	387	2063
158	388	2056
159	390	2049
160	391	2041
161	393	2034
162	394	2027
163	396	2019
164	397	2011
165	399	2004
166	400	1997
167	401	1990
168	403	1982
169	404	1974
170	405	1967
171	407	1959
172	408	1951
173	409	1944
174	410	1937
175	412	1929
176	413	1922
177	414	1915
178	416	1908
179	417	1901
180	418	1893
181	419	1886
182	421	1880
183	422	1874
184	423	1867
185	425	1860
186	426	1853
187	427	1847
188	428	1840
189	430	1834
190	431	1828
191	432	1822
192	434	1816
193	435	1810
194	437	1804
195	438	1797
196	439	1791
197	440	1785
198	442	1779
199	443	1773
200	444	1768
201	446	1762
202	447	1756
203	448	1751
204	450	1745
205	451	1739
206	452	1733
207	453	1728
208	455	1722
209	456	1717
210	457	1711
211	459	1706
212	460	1700
213	461	1696
214	463	1691
215	464	1686
216	466	1681
217	467	1676
218	468	1671
219	470	1666
220	471	1662
221	472	1657
222	474	1652
223	475	1646
224	476	1640
225	477	1635
226	479	1631
227	480	1627
228	481	1622
229	483	1617
230	484	1612
231	485	1608
232	487	1603
233	488	1598
234	489	1594
235	490	1589
236	492	1585
237	493	1581
238	495	1576
239	496	1571
240	497	1567
241	499	1562
242	500	1558
243	501	1554
244	503	1550
245	504	1545
246	505	1541
247	506	1537
248	508	1533
249	509	1529
250	510	1524
251	512	1520
252	513	1516
253	514	1512
254	516	1508
255	517	1504
256	519	1500
257	520	1496
258	521	1492
259	522	1488
260	524	1484
261	525	1480
262	527	1476
263	528	1472
264	529	1468
265	530	1464
266	532	1460
267	533	1456
268	534	1452
269	535	1449
270	537	1444
271	538	1440
272	539	1437
273	541	1433
274	542	1429
275	543	1425
276	544	1421
277	545	1417
278	547	1413
279	548	1410
280	549	1406
281	550	1402
282	552	1399
283	553	1395
284	555	1392
285	556	1389
286	557	1386
287	559	1382
288	560	1379
289	562	1376
290	563	1373
291	565	1371
292	567	1369
293	570	1369
294	572	1367
295	573	1365
296	575	1362
297	577	1360
298	579	1358
299	581	1357
300	583	1355
301	585	1353
302	587	1351
303	589	1349
304	590	1346
305	592	1343
306	593	1340
307	595	1337
308	596	1334
309	598	1331
310	599	1328
311	601	1326
312	602	1323
313	604	1320
314	606	1317
315	607	1315
316	609	1313
317	611	1311
318	613	1309
319	614	1306
320	616	1303
321	617	1301
322	619	1298
323	621	1295
324	622	1292
325	623	1289
326	625	1286
327	626	1283
328	628	1281
329	629	1278
330	630	1275
331	632	1271
332	633	1268
333	634	1265
334	636	1262
335	637	1259
336	638	1256
337	639	1253
338	641	1249
339	642	1247
340	644	1244
341	645	1241
342	647	1239
343	648	1236
344	649	1233
345	651	1230
346	652	1227
347	653	1224
348	655	1221
349	656	1219
350	657	1216
351	659	1213
352	660	1211
353	662	1208
354	663	1205
355	664	1202
356	666	1199
357	667	1196
358	668	1193
359	669	1190
360	671	1188
361	672	1185
362	674	1182
363	675	1180
364	677	1178
365	678	1175
366	679	1172
367	681	1169
368	682	1167
369	683	1164
370	685	1161
371	686	1158
372	687	1156
373	689	1153
374	690	1151
375	692	1148
376	693	1146
377	695	1143
378	696	1140
379	697	1138
380	699	1136
381	700	1133
382	702	1131
383	703	1128
384	704	1125
385	706	1123
386	707	1121
387	709	1118
388	710	1115
389	711	1113
390	712	1110
391	714	1107
392	715	1105
393	716	1102
394	718	1100
395	719	1097
396	721	1095
397	722	1092
398	723	1090
399	725	1087
400	726	1085
401	727	1082
402	728	1079
403	730	1077
404	732	1075
405	733	1073
406	735	1071
407	736	1068
408	737	1066
409	739	1063
410	740	1061
411	741	1058
412	743	1056
413	744	1053
414	745	1051
415	747	1048
416	748	1046
417	749	1043
418	750	1041
419	752	1038
420	753	1036
421	754	1033
422	756	1031
423	757	1028
424	758	1026
425	759	1023
426	761	1021
427	762	1019
428	764	1017
429	765	1014
430	766	1012
431	767	1009
432	769	1007
433	770	1004
434	771	1002
435	773	999
436	774	997
437	775	995
438	777	992
439	778	990
440	779	988
441	781	985
442	782	983
443	783	981
444	785	979
445	786	976
446	787	974
447	789	972
448	790	969
449	791	967
450	792	965
451	794	962
452	795	960
453	796	958
454	798	955
455	799	953
456	800	951
457	802	949
458	803	947
459	804	944
460	806	942
461	807	940
462	808	938
463	810	935
464	811	933
465	812	931
466	814	929
467	815	927
468	816	924
469	818	922
470	819	920
471	820	918
472	822	916
473	823	913
474	824	911
475	826	909
476	827	907
477	828	904
478	830	902
479	831	900
480	832	898
481	834	896
482	835	894
483	836	892
484	838	889
485	839	887
486	840	885
487	841	883
488	843	881
489	844	878
490	845	876
491	846	874
492	848	872
493	849	870
494	851	868
495	852	866
496	853	864
497	855	862
498	856	860
499	858	858
500	859	856
501	860	853
502	862	852
503	863	849
504	864	847
505	866	845
506	867	843
507	869	841
508	870	839
509	872	837
510	873	835
511	874	833
512	875	831
513	877	829
514	878	827
515	879	825
516	881	823
517	882	821
518	883	819
519	885	816
520	886	814
521	887	812
522	888	810
523	890	808
524	891	806
525	892	804
526	894	802
527	895	800
528	896	798
529	898	796
530	899	794
531	901	792
532	902	790
533	904	789
534	905	787
535	907	785
536	908	783
537	909	781
538	911	779
539	912	777
540	914	775
541	915	773
542	916	771
543	917	769
544	919	767
545	920	765
546	921	763
547	922	761
548	924	759
549	925	757
550	926	755
551	928	753
552	929	751
553	930	749
554	932	747
555	933	745
556	934	743
557	935	741
558	937	739
559	938	737
560	939	735
561	941	733
562	942	731
563	943	729
564	945	727
565	946	725
566	947	723
567	948	721
568	950	719
569	951	717
570	952	715
571	954	714
572	955	712
573	957	710
574	958	708
575	959	706
576	961	704
577	962	702
578	963	700
579	965	698
580	966	696
581	967	695
582	969	693
583	970	691
584	971	689
585	973	687
586	974	685
587	976	684
588	977	682
589	978	680
590	980	678
591	981	676
592	983	674
593	984	672
594	985	671
595	987	669
596	988	667
597	989	665
598	991	663
599	992	661
600	994	659
601	995	658
602	996	656
603	998	654
604	999	652
605	1000	650
606	1002	648
607	1003	646
608	1004	645
609	1006	643
610	1007	641
611	1008	639
612	1009	637
613	1011	635
614	1012	633
615	1013	632
616	1015	630
617	1016	628
618	1017	626
619	1019	624
620	1020	622
621	1021	620
622	1022	618
623	1024	617
624	1025	615
625	1026	613
626	1027	611
627	1029	609
628	1030	607
629	1031	605
630	1033	604
631	1034	602
632	1035	600
633	1036	598
634	1038	596
635	1039	594
636	1040	593
637	1042	591
638	1043	589
639	1044	587
640	1046	585
641	1047	584
642	1048	582
643	1050	580
644	1051	578
645	1053	577
646	1054	575
647	1055	573
648	1056	571
649	1058	569
650	1059	568
651	1060	566
652	1062	564
653	1063	562
654	1065	561
655	1067	559
656	1068	557
657	1069	556
658	1071	554
659	1072	552
660	1074	550
661	1075	549
662	1077	547
663	1078	545
664	1080	544
